SystemName,2.1.1,2.1.2,2.1.3,2.2.1,2.2.2,2.2.3,2.3.1,2.3.2,2.3.3,2.4.1,2.4.2,2.4.3,2.5.1,2.5.2,2.5.3,2.6.1,2.6.2,2.6.3,2.7.1,2.7.2,2.7.3,2.8.1,2.8.2,2.8.3,Result
System-0_0,0,7,7,0,2,7,1,8,0,3,5,8,7,2,0,0,7,4,1,9,0,3,6,9,0
System-0_1,3,4,3,3,6,2,7,9,8,6,6,4,9,4,4,1,3,8,9,4,6,8,0,7,0
System-0_2,7,0,3,0,8,8,6,5,4,7,6,0,9,9,9,7,6,7,4,7,1,1,1,5,0
System-0_3,8,9,9,0,2,7,2,7,6,4,2,2,6,6,5,9,4,3,7,5,3,9,7,8,0
System-0_4,0,6,5,5,9,1,2,0,1,2,9,2,0,8,6,5,9,4,5,2,3,5,0,5,0
System-0_5,9,4,6,1,8,2,0,6,5,8,9,2,3,5,6,4,8,0,3,5,3,3,3,1,0
System-0_6,6,1,5,0,7,5,6,6,4,5,3,2,8,8,3,6,4,7,5,6,6,7,2,0,0
System-0_7,7,5,6,9,4,0,1,9,2,5,3,4,1,4,9,8,6,4,8,7,5,2,0,8,0
System-0_8,7,0,1,2,8,6,0,3,3,9,2,5,7,5,2,1,4,0,2,7,5,0,7,1,0
System-0_9,2,7,8,6,4,3,7,5,7,4,2,2,8,7,4,3,6,9,2,3,6,4,1,2,0
System-1_0,4,0,6,3,4,4,7,7,9,1,5,0,1,5,3,5,0,0,0,2,8,4,9,8,0
System-1_1,8,0,8,4,8,7,3,5,8,1,6,7,8,1,1,7,1,7,6,5,7,8,7,2,0
System-1_2,2,4,6,5,1,5,6,5,5,8,9,4,5,3,1,3,1,4,1,8,4,3,6,1,0
System-1_3,0,0,1,9,0,8,0,9,0,8,5,0,9,2,4,5,1,4,6,3,3,4,0,0,0
System-1_4,5,5,5,8,2,1,6,4,5,4,9,6,2,4,4,7,9,9,8,7,6,7,8,0,0
System-1_5,9,4,1,9,1,4,1,4,6,9,3,7,0,3,5,7,4,2,0,1,3,1,8,9,0
System-1_6,9,8,3,3,1,6,9,3,9,9,9,1,7,7,9,6,9,9,8,5,4,0,2,6,0
