SystemName,3.1.1,3.1.2,3.1.3,3.2.1,3.2.2,3.2.3,3.3.1,3.3.2,3.3.3,3.4.1,3.4.2,3.4.3,3.5.1,3.5.2,3.5.3,3.6.1,3.6.2,3.6.3,3.7.1,3.7.2,3.7.3,3.8.1,3.8.2,3.8.3,3.9.1,3.9.2,3.9.3,Result,Compliance Status
System-0,20,26,93,64,60,17,72,16,37,98,63,55,68,84,77,22,3,31,26,21,94,87,31,65,39,91,45,53,Not Compliant
System-1,42,21,53,72,20,31,99,64,43,51,12,22,33,58,23,22,7,63,22,90,85,7,23,66,21,13,93,43,Not Compliant
System-2,24,59,61,41,58,52,93,20,71,23,39,67,29,31,75,7,45,99,99,7,21,26,93,88,87,36,15,51,Not Compliant
System-3,81,26,78,10,87,85,22,81,46,30,79,22,2,19,32,86,96,27,64,39,98,53,93,11,97,17,96,55,Not Compliant
System-4,69,49,24,65,0,75,77,10,42,17,95,51,5,24,84,45,80,66,98,59,95,89,61,71,50,83,54,57,Not Compliant
System-5,25,8,1,53,99,34,65,78,65,75,94,19,2,15,12,66,56,21,69,76,16,60,74,11,81,96,10,48,Not Compliant
System-6,88,89,87,87,91,82,83,96,90,86,90,93,99,84,86,86,86,95,95,93,84,99,91,87,83,86,81,89,Compliant
System-7,82,7,16,30,74,56,28,12,68,69,94,50,49,8,3,43,32,25,9,96,83,57,95,99,67,26,4,48,Not Compliant
System-8,79,41,93,50,82,28,29,58,99,48,14,53,34,55,54,45,32,18,69,57,23,77,4,74,70,81,38,53,Not Compliant
System-9,86,93,83,83,90,92,98,82,87,94,94,97,96,96,84,80,92,83,99,93,80,98,88,99,89,99,87,91,Compliant
System-10,88,13,45,67,74,94,41,74,15,41,9,48,40,95,3,37,44,95,85,9,68,54,97,35,39,18,12,50,Not Compliant
System-11,70,85,65,76,72,21,45,22,33,45,41,9,42,66,37,15,92,6,83,9,9,73,81,55,58,56,32,49,Not Compliant
System-12,59,0,30,21,13,25,32,0,74,17,38,70,50,83,80,7,86,4,1,92,86,57,57,70,41,11,2,41,Not Compliant
System-13,15,6,10,89,34,71,50,17,24,43,43,52,15,37,28,40,33,59,78,64,6,9,67,28,72,65,90,43,Not Compliant
System-14,81,80,13,25,64,87,55,10,84,85,28,76,27,90,14,43,94,22,45,34,2,5,50,23,99,37,2,48,Not Compliant
System-15,6,77,45,29,4,19,4,93,51,98,54,25,75,19,35,78,86,33,12,36,88,74,89,38,97,49,49,51,Not Compliant
System-16,68,84,31,34,6,54,89,85,71,92,63,79,50,12,20,13,79,2,55,36,80,55,61,8,30,99,71,53,Not Compliant
System-17,73,86,97,13,37,56,31,46,26,24,9,29,38,61,24,86,15,32,57,31,76,49,51,49,30,2,94,46,Not Compliant
System-18,77,57,72,58,17,62,61,84,14,68,3,94,10,1,31,15,69,41,77,92,87,73,6,13,20,32,66,49,Not Compliant
System-19,90,8,57,53,72,93,91,17,88,17,91,99,39,49,93,96,92,87,0,56,10,98,28,98,54,49,93,64,Not Compliant
System-20,57,14,32,52,11,20,58,9,51,80,45,51,45,5,46,80,72,39,81,74,57,4,34,6,99,93,6,46,Not Compliant
System-21,6,94,87,91,62,42,49,97,94,67,78,31,41,14,37,75,47,84,30,70,80,91,56,96,55,13,24,60,Not Compliant
System-22,72,48,91,54,64,5,3,84,94,66,76,41,84,23,70,0,50,37,61,66,61,48,48,0,55,1,52,51,Not Compliant
System-23,72,50,97,5,43,83,34,76,95,39,77,2,27,99,49,35,94,43,67,66,8,61,79,71,8,15,71,55,Not Compliant
System-24,39,11,56,59,54,68,55,95,46,70,43,29,69,81,79,40,49,63,24,65,71,78,7,99,47,40,50,56,Not Compliant
System-25,61,19,59,38,70,20,75,80,6,10,87,18,32,45,26,86,52,63,59,61,58,34,84,61,81,70,29,52,Not Compliant
System-26,81,58,35,71,63,16,13,20,20,5,35,28,53,32,70,28,26,85,98,67,9,96,78,91,99,86,12,51,Not Compliant
System-27,70,0,47,13,22,67,0,69,81,98,42,13,7,38,73,10,31,88,13,77,75,13,99,14,53,0,65,44,Not Compliant
System-28,80,53,39,63,83,68,6,69,72,84,5,8,43,45,60,30,74,74,11,70,70,16,95,52,78,72,16,54,Not Compliant
System-29,0,41,23,34,83,87,95,0,65,84,72,10,52,23,49,5,99,71,9,92,89,51,70,37,97,8,9,51,Not Compliant
System-30,90,82,33,4,46,16,57,82,39,2,68,17,21,18,27,88,3,61,24,29,41,55,6,27,13,19,88,40,Not Compliant
System-31,91,77,84,86,96,37,94,39,10,30,13,15,94,79,96,64,17,96,69,92,78,22,58,17,30,68,12,58,Not Compliant
System-32,69,72,72,26,28,23,4,57,83,15,36,42,29,66,60,19,2,17,29,8,84,30,39,48,66,9,54,41,Not Compliant
System-33,56,10,28,53,34,41,38,48,60,3,27,14,60,69,3,88,33,23,74,92,89,2,81,30,28,49,69,45,Not Compliant
System-34,80,30,96,64,42,37,34,25,46,67,82,39,10,51,66,84,37,64,60,29,10,6,98,64,86,26,71,52,Not Compliant
System-35,85,97,86,91,94,90,98,88,89,87,81,99,85,98,97,91,87,91,89,92,96,81,97,95,98,82,86,91,Compliant
System-36,70,29,3,49,20,93,33,0,67,90,83,66,14,9,51,72,10,25,23,98,29,46,9,17,3,29,80,42,Not Compliant
System-37,64,15,84,85,86,7,49,24,97,5,22,64,40,23,45,80,44,85,44,11,49,65,10,41,55,0,9,45,Not Compliant
System-38,88,80,80,95,80,87,84,96,92,96,89,93,98,93,95,99,95,80,94,82,96,82,88,97,98,95,96,91,Compliant
System-39,13,58,25,33,70,15,15,32,5,93,61,66,49,57,35,78,31,21,18,6,50,41,53,9,22,21,33,38,Not Compliant
System-40,92,99,81,83,96,91,81,88,84,93,95,86,87,95,97,94,96,87,83,97,80,93,87,92,91,89,86,90,Compliant
System-41,88,7,7,1,50,3,58,40,59,90,55,54,99,47,77,36,22,77,73,29,46,51,39,50,66,84,80,52,Not Compliant
