,SystemName,1.1.1,1.1.2,1.1.3,1.2.1,1.2.2,1.2.3,1.3.1,1.3.2,1.3.3,1.4.1,1.4.2,1.4.3,1.5.1,1.5.2,1.5.3,1.6.1,1.6.2,1.6.3,1.7.1,1.7.2,1.7.3,1.8.1,1.8.2,1.8.3,1.9.1,1.9.2,1.9.3,Result
0,System-0_0,2,6,6,8,7,4,8,7,0,9,5,1,3,6,8,7,1,4,6,5,6,3,6,2,8,1,8,0
1,System-0_1,7,3,3,4,0,4,0,4,5,6,1,1,3,9,4,1,2,0,5,5,3,2,0,1,3,4,8,0
2,System-0_2,7,8,1,7,8,1,3,4,6,0,6,5,9,6,3,8,2,2,2,9,0,0,6,6,4,4,4,0
3,System-0_3,4,3,6,5,5,8,0,4,7,0,6,4,6,5,5,9,9,8,9,4,7,0,4,7,3,4,3,0
4,System-0_4,9,7,2,6,3,6,9,1,7,0,6,3,3,6,3,7,3,5,1,1,6,0,6,6,5,1,1,0
5,System-0_5,5,4,5,3,2,1,7,5,9,0,8,4,9,6,7,7,3,8,0,9,9,9,4,3,9,7,9,0
6,System-0_6,2,6,2,3,4,2,6,3,4,1,1,3,7,2,0,9,2,4,0,1,8,5,7,8,6,4,9,0
7,System-0_7,3,9,3,2,5,0,3,3,1,7,9,9,9,6,9,3,1,8,2,8,5,2,3,7,6,7,4,0
8,System-0_8,8,3,1,3,0,3,2,4,3,0,5,0,1,3,7,4,4,1,4,8,2,4,2,6,7,2,8,0
9,System-0_9,7,4,6,4,4,9,7,8,2,8,8,3,7,9,7,1,9,0,5,1,3,2,0,9,3,8,1,0
10,System-0_10,8,4,2,4,4,8,8,3,6,0,8,4,4,2,7,5,0,1,0,9,3,9,7,2,6,6,7,0
11,System-0_11,0,5,7,7,2,2,6,0,5,7,3,3,4,7,5,5,3,2,6,9,3,7,6,7,5,2,2,0
12,System-0_12,4,4,9,1,3,9,2,1,0,0,9,3,2,9,9,8,2,2,7,7,5,7,9,5,1,8,8,0
